Singerman ID,leave blank,Description,leave blank 2
supp0002,,"Macgowan, John. The Life of Joseph, the Son of Israel. In Eight Books. Chiefly designed to allure young Minds to a Love of the Sacred Scriptures. Exeter, [N.H.]: Printed by Henry Ranlet for I. Thomas and E. T. Andrews, Boston, MDCCXCIV. 252 p. Evans 27252. Numerous editions printed by Ranlet exist.

Evans 27252. Numerous editions printed by Ranlet exist.

Copies: CBGTU, CLU, MWA, NNC, PP.",
supp0003,,"Remarkable Curiosities. Containing A description of the Upas, or Poison-Tree. Of the Russian Lamb. Of a Subterraneous City. Remarkable Curiosity. Concerning the Jews. On Kings. Extract from Brackenridges’s ""Modern Chivalry,"" lately published. Thoughts on hard drinking. Prices Current, &c. among the Army in an Indian country, in the Spring, 1794. To which is subjoined, a Remakable [sic] Prophesy. The whole compose a Genteel & Expert Compendium. [United States], MDCCXCIV. 16 p. 

States that a ""Congress of the Jews is to meet at Amsterdam early in the spring, ’94,"" and that some of Amsterdam’s rabbis are now ready to accept Jesus Christ as their ""true Messiah"" (pp. 8-9). Bristol 8845, Shipton & Mooney 47197.

Copies: MWA, NN (photostat of MWA copy).",
supp0004,,"[Holbach, Paul Henri Thiry, baron d’]. Christianity Unveiled; being, An Examination of the Principles and Effects of the Christian Religion. From the French of Boulanger, author of Researches into the Origin of Oriental Despotism. By W. M. Johnson. New-York: Printed at the Columbian Press, by Robertson and Gowan, for the Editor, 1795. ix, 158, 167-238 p. (pp. 159-66 skipped in pagination). Chap. 2, ""Sketch of the History of the Jews."" Holbach’s authorship is disputed. Evans 28846.

(pp. 159-66 skipped in pagination). Chap. 2, ""Sketch of the History of the Jews."" Holbach’s authorship is disputed. Evans 28846.

Copies: DLC, InU, MB, MWA, NHi, NIC, NNJ.",
supp0005,,"Wesley, John. An Extract of the Rev. Mr. John Wesley’s Journals. Volume I. The First American Edition. Philadelphia: Printed by Henry Tuckniss, and sold by John Dickins, MDCCXCV. 316 p., [2] p. of adv.

See p. 62, entry for April 4, 1737, Savannah: ""I began learning Spanish, in order to converse with my Jewish Parishioners: some of whom seem nearer the mind that was in Christ, than many of those who call him Lord."" No more published in this edition. Frequently reissued. Evans 29861.

Copies: DLC, MWA, N, NcD, RPJCB.",
supp0006,,"The American Jest-Book, containing, a curious Variety of Jests, Anecdotes, Bon mots, Stories, &c. Part I-[II]. Boston, 1796. 240 p. 

The second part has title, The Merry Fellow’s Companion, and is often found as a separate publication. See no. 29 (p. 19); no. 189 (p. 79); no. 261 (pp. 112- 14); Second Part, no. 77 (p. 149). Evans 29970 (not located by Evans), Bristol 9448, Shipton & Mooney 47699.

Copies: DLC, IU, MWA, PHi.",
supp0007,,"Austin, David. The Voice of God to the PEOPLE of these UNITED STATES. By a MESSENGER of PEACE. ... Announcing, that the KINGDOM of CHRIST, in the form of ""a STONE of STUMBLING, and ROCK of OFFENCE,"" is about to cease; and that the same Kingdom in the Form of ""the MOUNTAIN"" is immediately to be set up: of which Kingdom the Theocracy of Moses was a Figure. ... Elizabeth-Town, [N.J.]: Printed by Shepard Kollock, [1796?]. 154 p., [1] p. of adv. David Austin’s expectations of the imminent millennium include the restoration of the Jews. Evans 30006.

David Austin’s expectations of the imminent millennium include the restoration of the Jews. Evans 30006.

Copies: CtY-B, DLC, PHi.",
supp0008,,"Salzmann, Christian Gotthilf. Elements of Morality for the use of Children. With an Introductory Address to Parents. Translated from the German of the Rev. C. G. Salzmann. Illustrated with Twenty Copper-plates. Philadelphia: Printed by J. Hoff & H. Kammerer, jun., 1796. 2 vols. 

The first American ed. appeared in Providence, 1795; this illustrated ed., however, has a plate, ""In every religion there are good people"" (following vol. 2, p. 122), accompanying a section about Ephraim, a Jew (vol. 2, pp. 114-20). A perfect copy has a frontispiece in each vol. This title may be the earliest American imprint with an illustration of a contemporary Jew, as suggested by Michael Zinman, Nov. 14, 1990, letter to R. Singerman. Evans 31156.

Copies: DeWi, DLC, GU, MH, MWA, NB, NIC, OO, PPL, PSt, TxU.",
supp0009,,"Bingham, Caleb. The Columbian Orator: Containing a Variety of Original and Selected Pieces; Together with Rules; Calculated to Improve Youth and Others in the Ornamental and Useful Art of Eloquence. ... Boston: Printed by Manning & Loring, for the Author, for David West, and for John West, 1797. 288 p.

""Judah’s Plea for His Brother Benjamin, before Joseph in Egypt"": pp. 41-42 (from Philo). Frequently reissued. Evans 31827.

Copies: DLC, MB, MWA, RPJCB.",
supp0010,,"Eine merkwürdige Geschichte von der Bekehrung dreyer Juden-Kinder, welche Christen geworden und den 14 August 1789 in Gegenwart vieler Menschen in Berlin getauft wurden. Lancaster, [Pa.]: Gedruckt bey Johann Albrecht, 1797. 16 p. 

See also entries JA 0127, 0287

Copies: PMilS.",
supp0011,,"A Scriptural View of the Rise of the Heathen, Jewish, and Christian Monarchies in the World; with an Account of the Dissolution of the Present European System, according to the Prophecies of Isaiah, Daniel, and John, in the Revelations and others ... New-York: Printed and sold by J. Buel, 1797. 99, [1] p. 

Evans 34479 (under 1798 in error; replaced by Shipton and Mooney 48244 under 1797). Authorship attributed by Evans to John C. Robson, the copyright holder.

Copies: CtY-B, MB, MWA, NN, PHi, RPJCB.",
